region,country,gender,total_answered,v_prevalence,v_reported,v_action,p_prevalence,p_reported,p_action
africa,botswana,n,0,0,0,0,0,0,0
africa,kenya,n,1,1,1,0,1,0,0
africa,malawi,n,4,0,0,0,0,0,0
africa,rwanda,n,3,2,0,0,1,0,0
africa,tanzania,n,1,1,0,0,1,0,0
africa,uganda,n,0,0,0,0,0,0,0
africa,zambia,n,4,2,0,0,2,0,0
africa,zimbabwe,n,1,1,0,0,0,0,0
africa,botswana,m,4,3,0,0,1,0,0
africa,kenya,m,20,6,1,1,6,0,0
africa,malawi,m,37,5,0,0,0,0,0
africa,rwanda,m,41,7,3,1,5,1,1
africa,tanzania,m,13,2,0,0,3,0,0
africa,uganda,m,17,5,1,1,5,1,0
africa,zambia,m,17,10,3,3,6,2,2
africa,zimbabwe,m,9,1,0,0,0,0,0
africa,botswana,f,27,15,5,3,15,6,3
africa,kenya,f,62,49,13,6,51,6,2
africa,malawi,f,46,26,7,4,26,0,0
africa,rwanda,f,59,24,4,1,24,0,0
africa,tanzania,f,76,36,8,6,36,7,2
africa,uganda,f,38,24,3,2,24,3,2
africa,zambia,f,47,33,7,5,33,2,2
africa,zimbabwe,f,49,20,9,8,20,7,4
